time,number,latitude,longitude,t2m
2022-01-01 12:00:00,3,30.0,-1.0,287.8887417169565
2022-01-01 12:00:00,3,29.75,-3.0,288.59585197474905
2022-01-01 12:00:00,3,29.75,-2.75,288.667458076804
2022-01-01 12:00:00,3,29.75,-2.5,288.71668727196675
2022-01-01 12:00:00,3,29.75,-2.25,288.63613040715495
2022-01-01 12:00:00,3,29.75,-2.0,288.430262863747
2022-01-01 12:00:00,3,29.75,-1.75,288.3452306175567
2022-01-01 12:00:00,3,29.75,-1.5,288.2467722272312
2022-01-01 12:00:00,3,29.75,-1.25,288.15278921828406
2022-01-01 12:00:00,3,29.75,-1.0,288.10803540449973
2022-01-01 12:00:00,3,29.5,-3.0,288.7927687554001
2022-01-01 12:00:00,3,29.5,-2.75,288.8419979505629
2022-01-01 12:00:00,3,29.5,-2.5,288.8912271457257
2022-01-01 12:00:00,3,29.5,-2.25,288.8106702809139
2022-01-01 12:00:00,3,29.5,-2.0,288.7256380347236
2022-01-01 12:00:00,3,29.5,-1.75,288.6271796443981
2022-01-01 12:00:00,3,29.5,-1.5,288.5287212540725
2022-01-01 12:00:00,3,29.5,-1.25,288.430262863747
2022-01-01 12:00:00,3,29.5,-1.0,288.33180447342147
2022-01-01 12:00:00,3,29.25,-3.0,289.0299639684571
2022-01-01 12:00:00,3,29.25,-2.75,288.99416091742967
2022-01-01 12:00:00,3,29.25,-2.5,289.0433901125924
2022-01-01 12:00:00,3,29.25,-2.25,288.9628332477806
2022-01-01 12:00:00,3,29.25,-2.0,288.81962104367074
2022-01-01 12:00:00,3,29.25,-1.75,288.73458879748046
2022-01-01 12:00:00,3,29.25,-1.5,288.63613040715495
2022-01-01 12:00:00,3,29.25,-1.25,288.5376720168294
2022-01-01 12:00:00,3,29.25,-1.0,288.5108197285588
2022-01-01 12:00:00,3,29.0,-3.0,289.2671591815141
2022-01-01 12:00:00,3,29.0,-2.75,289.23135613048663
2022-01-01 12:00:00,3,29.0,-2.5,289.2000284608376
2022-01-01 12:00:00,3,29.0,-2.25,289.0568162567277
2022-01-01 12:00:00,3,29.0,-2.0,288.91807943399624
2022-01-01 12:00:00,3,29.0,-1.75,288.8285718064276
2022-01-01 12:00:00,3,29.0,-1.5,288.7435395602373
